date,Bitcoin_views,Ethereum_views,Litecoin_views,Dogecoin_views,Binance_views,Coinbase_views,BTC_Close,BTC_Volume
2018-11-29,12709,1795,567,665,543,678,4278.84668,6503347767.0
2018-11-30,14422,1802,633,688,481,537,4017.268555,6048016717.0
2018-12-01,10083,1525,400,572,523,422,4214.671875,5375314093.0
2018-12-02,10695,1769,417,554,401,435,4139.87793,5262697895.0
2018-12-03,12294,2275,520,702,525,580,3894.130859,5089570994.0
2018-12-04,13226,2107,476,732,488,603,3956.893799,5028069239.0
2018-12-05,12290,2184,534,772,577,536,3753.994873,5302481574.0
2018-12-06,11920,1928,570,725,499,570,3521.101807,5878333109.0
2018-12-07,12019,1952,548,704,528,718,3419.937256,6835615448.0
2018-12-08,10178,1365,449,589,350,511,3476.114746,5305024497.0
2018-12-09,10294,1353,463,563,360,485,3614.234375,4947372847.0
2018-12-10,11433,1876,498,629,409,536,3502.656006,5020968740.0
2018-12-11,11401,1814,554,677,447,641,3424.588135,4696765188.0
2018-12-12,11912,1811,458,671,468,569,3486.950195,4139364829.0
2018-12-13,13069,1773,449,577,410,564,3313.677246,4343372456.0
2018-12-14,13937,1537,509,628,419,670,3242.484863,4372763663.0
2018-12-15,9154,1253,466,527,329,498,3236.761719,3551763561.0
2018-12-16,9462,1298,457,481,337,425,3252.839111,3744248994.0
2018-12-17,12584,1816,569,767,435,557,3545.864746,5409247918.0
2018-12-18,12447,1623,567,906,424,554,3696.059082,5911325473.0
2018-12-19,10893,1674,538,838,519,610,3745.950684,6810689119.0
2018-12-20,12461,1557,573,692,423,662,4134.441406,8927129279.0
2018-12-21,12817,1445,511,632,375,1153,3896.543701,7206015706.0
2018-12-22,10507,1216,348,505,309,450,4014.182617,5605823233.0
2018-12-23,9330,1301,401,588,311,457,3998.980225,6151275490.0
2018-12-24,9452,1299,444,493,598,479,4078.599121,7240968501.0
2018-12-25,9181,1134,337,532,323,441,3815.490723,6158207293.0
2018-12-26,10859,1247,428,539,369,556,3857.297607,5326547918.0
2018-12-27,11794,1713,518,567,401,625,3654.833496,5130222366.0
2018-12-28,11423,1627,461,626,321,566,3923.918701,5631554348.0
2018-12-29,11545,1652,379,581,369,455,3820.408691,4991655917.0
2018-12-30,9079,1660,594,559,360,467,3865.952637,4770578575.0
2018-12-31,9707,1567,454,535,338,441,3742.700439,4661840806.0
2019-01-01,9676,1409,358,488,277,503,3843.52002,4324200990.0
2019-01-02,11193,1971,666,633,435,583,3943.409424,5244856836.0
2019-01-03,20217,2100,488,617,437,552,3836.741211,4530215219.0
2019-01-04,12983,2040,429,608,444,533,3857.717529,4847965467.0
